replicate,dataset,adjusted_rand_index,selected_k
0,Exp1,1.0,2
0,Exp2,1.0,2
1,Exp1,1.0,2
1,Exp2,1.0,2
2,Exp1,1.0,2
2,Exp2,1.0,2
3,Exp1,1.0,2
3,Exp2,1.0,2
4,Exp1,1.0,2
4,Exp2,1.0,2
5,Exp1,0.0,2
5,Exp2,0.05046021856330334,2
6,Exp1,1.0,2
6,Exp2,1.0,2
7,Exp1,1.0,2
7,Exp2,1.0,2
8,Exp1,1.0,2
8,Exp2,1.0,2
9,Exp1,0.0,2
9,Exp2,0.1532195629771763,2
10,Exp1,1.0,2
10,Exp2,-0.008926748369109366,2
11,Exp1,1.0,2
11,Exp2,1.0,2
12,Exp1,1.0,2
12,Exp2,0.5580201028652765,2
13,Exp1,0.0,2
13,Exp2,0.034241587184345834,2
14,Exp1,0.0,2
14,Exp2,0.14497694813712303,2
15,Exp1,1.0,2
15,Exp2,1.0,2
16,Exp1,1.0,2
16,Exp2,1.0,2
17,Exp1,0.0,2
17,Exp2,-0.0030332424971748553,2
18,Exp1,0.0,2
18,Exp2,0.03306220329446107,2
19,Exp1,1.0,2
19,Exp2,1.0,2
20,Exp1,1.0,2
20,Exp2,1.0,2
21,Exp1,0.0,2
21,Exp2,0.13046728473716324,2
22,Exp1,1.0,2
22,Exp2,1.0,2
23,Exp1,0.0,2
23,Exp2,0.16224591206368333,2
24,Exp1,1.0,2
24,Exp2,1.0,2
25,Exp1,0.0,2
25,Exp2,0.22426509800060712,2
26,Exp1,0.0,2
26,Exp2,0.14497694813712303,2
27,Exp1,1.0,2
27,Exp2,1.0,2
28,Exp1,1.0,2
28,Exp2,1.0,2
29,Exp1,1.0,2
29,Exp2,1.0,2
